Tarih,Housing Price Index,Exchange Rate,Interest Rate on Morgages,Morgage Credit Volume,Inflation,Unemployment,House Sales,GDP-PC
2015-01,0.147,0.100,11.01,0.129,0.072,0.105,-0.054,-0.030
2015-02,0.156,0.159,10.80,0.143,0.075,0.107,0.068,-0.027
2015-03,0.156,0.197,10.82,0.166,0.076,0.105,0.226,-0.024
2015-04,0.166,0.202,10.97,0.185,0.079,0.105,0.401,-0.022
2015-05,0.162,0.172,11.49,0.190,0.081,0.102,0.182,-0.019
2015-06,0.170,0.209,11.87,0.198,0.072,0.102,0.201,-0.016
2015-07,0.161,0.178,12.28,0.194,0.068,0.101,0.108,-0.014
2015-08,0.151,0.222,12.59,0.192,0.071,0.101,0.090,-0.011
2015-09,0.153,0.223,13.57,0.177,0.079,0.102,-0.183,-0.008
2015-10,0.153,0.134,14.30,0.167,0.076,0.102,0.136,-0.005
2015-11,0.165,0.084,14.13,0.155,0.081,0.102,0.059,-0.003
2015-12,0.151,0.102,14.01,0.145,0.088,0.104,0.124,0.000
2016-01,0.153,0.113,14.27,0.144,0.096,0.102,0.055,-0.009
2016-02,0.143,0.091,14.45,0.134,0.088,0.101,0.166,-0.018
2016-03,0.134,0.016,14.45,0.121,0.075,0.102,0.017,-0.027
2016-04,0.130,-0.056,14.33,0.110,0.066,0.101,-0.108,-0.036
2016-05,0.132,-0.001,13.96,0.106,0.066,0.103,0.144,-0.045
2016-06,0.122,0.016,13.84,0.103,0.076,0.107,-0.036,-0.054
2016-07,0.119,0.014,13.67,0.100,0.088,0.111,-0.133,-0.063
2016-08,0.132,-0.015,12.86,0.099,0.080,0.111,0.011,-0.072
2016-09,0.124,0.007,12.09,0.110,0.073,0.116,0.176,-0.081
2016-10,0.121,0.061,12.12,0.128,0.072,0.115,0.220,-0.090
2016-11,0.110,0.153,11.69,0.148,0.070,0.116,0.245,-0.099
2016-12,0.119,0.192,11.42,0.159,0.085,0.121,-0.030,-0.100
2017-01,0.115,0.280,11.45,0.167,0.092,0.12,0.104,-0.094
2017-02,0.120,0.242,11.38,0.177,0.101,0.119,-0.046,-0.088
2017-03,0.123,0.237,11.06,0.194,0.113,0.119,0.076,-0.082
2017-04,0.124,0.234,11.28,0.207,0.119,0.116,0.108,-0.075
2017-05,0.114,0.162,11.55,0.211,0.117,0.111,-0.055,-0.069
2017-06,0.114,0.077,11.72,0.208,0.109,0.11,-0.079,-0.062
2017-07,0.112,0.020,12.02,0.220,0.098,0.106,0.426,-0.055
2017-08,0.087,-0.060,12.49,0.221,0.107,0.105,0.050,-0.049
2017-09,0.102,-0.056,12.87,0.215,0.112,0.103,0.374,-0.042
2017-10,0.102,-0.001,13.05,0.201,0.119,0.103,-0.076,-0.035
2017-11,0.095,0.062,13.12,0.187,0.130,0.101,-0.065,-0.027
2017-12,0.094,0.080,13.52,0.172,0.119,0.099,-0.071,-0.024
2018-01,0.086,0.072,14.14,0.162,0.103,0.098,0.003,-0.030
2018-02,0.079,0.061,14.68,0.146,0.103,0.1,-0.033,-0.036
2018-03,0.078,0.105,14.79,0.122,0.102,0.1,-0.101,-0.042
2018-04,0.074,0.169,14.83,0.102,0.108,0.102,-0.086,-0.048
2018-05,0.087,0.205,13.88,0.099,0.121,0.106,0.048,-0.054
2018-06,0.091,0.193,13.10,0.109,0.154,0.107,0.256,-0.059
2018-07,0.082,0.234,16.86,0.100,0.158,0.108,0.068,-0.065
2018-08,0.088,0.519,18.99,0.075,0.179,0.112,-0.126,-0.071
2018-09,0.070,0.685,25.18,0.051,0.245,0.115,-0.140,-0.077
2018-10,0.076,0.510,28.95,0.028,0.252,0.116,0.313,-0.084
2018-11,0.075,0.325,28.63,0.006,0.216,0.122,-0.312,-0.090
2018-12,0.055,0.202,27.82,-0.016,0.203,0.127,0.048,-0.100
2019-01,0.047,0.160,26.22,-0.032,0.204,0.136,-0.300,-0.101
2019-02,0.041,0.108,22.98,-0.044,0.197,0.138,-0.253,-0.102
2019-03,0.035,-0.050,18.16,-0.047,0.197,0.139,-0.129,-0.104
2019-04,0.035,-0.099,17.70,-0.050,0.195,0.138,-0.205,-0.105
2019-05,0.030,0.032,20.45,-0.066,0.187,0.137,-0.329,-0.106
2019-06,0.012,0.082,21.81,-0.095,0.157,0.137,-0.592,-0.108
2019-07,0.025,0.069,21.06,-0.107,0.166,0.139,-0.324,-0.109
2019-08,0.057,0.048,14.15,-0.082,0.150,0.141,-0.177,-0.110
2019-09,0.061,0.086,12.98,-0.043,0.093,0.141,-0.147,-0.112
2019-10,0.063,0.063,13.12,-0.004,0.086,0.135,-0.329,-0.113
2019-11,0.072,-0.001,12.96,0.025,0.106,0.133,0.198,-0.114
2019-12,0.098,-0.035,12.69,0.059,0.118,0.134,0.080,-0.107
2020-01,0.128,0.018,11.88,0.090,0.122,0.13,0.161,-0.090
2020-02,0.152,0.066,11.43,0.122,0.124,0.126,0.143,-0.074
2020-03,0.168,0.123,11.40,0.138,0.119,0.13,-0.228,-0.056
2020-04,0.163,0.194,11.72,0.137,0.109,0.135,-0.607,-0.039
2020-05,0.169,0.202,11.23,0.144,0.114,0.136,-0.547,-0.021
2020-06,0.256,0.188,9.30,0.274,0.126,0.137,1.520,-0.003
2020-07,0.295,0.174,9.11,0.432,0.118,0.142,0.745,0.015
2020-08,0.278,0.225,11.09,0.474,0.118,0.129,0.283,0.034
2020-09,0.282,0.242,14.16,0.441,0.117,0.126,-0.195,0.054
2020-10,0.296,0.247,15.07,0.409,0.119,0.131,-0.263,0.073
2020-11,0.323,0.174,15.68,0.393,0.140,0.131,-0.250,0.093
2020-12,0.321,0.111,18.19,0.361,0.146,0.126,-0.511,0.102
2021-01,0.308,0.086,18.39,0.334,0.150,0.123,-0.382,0.102
2021-02,0.317,0.032,17.99,0.309,0.156,0.132,-0.337,0.101
2021-03,0.319,0.052,17.74,0.291,0.162,0.128,-0.021,0.100
2021-04,0.358,0.086,18.13,0.292,0.171,0.134,0.967,0.099
2021-05,0.363,0.059,17.84,0.287,0.166,0.134,0.080,0.098
2021-06,0.310,0.074,17.90,0.178,0.175,0.11,-0.316,0.097
2021-07,0.307,0.116,17.93,0.061,0.190,0.116,-0.519,0.096
2021-08,0.327,0.146,17.86,0.024,0.193,0.12,-0.182,0.096
2021-09,0.364,0.204,17.90,0.025,0.196,0.113,0.063,0.095
2021-10,0.390,0.198,17.82,0.031,0.199,0.111,0.134,0.094
2021-11,0.446,0.290,17.10,0.049,0.213,0.111,0.520,0.093
2021-12,0.635,0.622,17.31,0.079,0.361,0.11,1.080,0.013
2022-01,0.816,0.573,18.25,0.091,0.487,0.111,0.222,0.011
2022-02,0.902,0.581,17.80,0.105,0.544,0.107,0.168,0.009
2022-03,1.043,0.719,17.97,0.129,0.611,0.111,0.149,0.007
2022-04,1.208,0.725,18.24,0.166,0.700,0.109,0.247,0.005
2022-05,1.439,0.709,18.42,0.210,0.735,0.109,0.805,0.003
2022-06,1.640,0.612,18.18,0.255,0.786,0.102,0.116,0.001
2022-07,1.733,0.285,18.30,0.263,0.796,0.102,-0.122,-0.001
2022-08,1.814,0.331,18.61,0.266,0.802,0.098,-0.085,-0.002
2022-09,1.864,0.342,20.26,0.256,0.835,0.101,-0.182,-0.004
2022-10,1.868,0.275,20.98,0.248,0.855,0.103,-0.220,-0.006
2022-11,1.765,0.266,21.58,0.223,0.844,0.101,-0.329,-0.008
2022-12,1.519,0.193,20.56,0.206,0.643,0.103,0.015,0.069
2023-01,1.467,0.106,21.65,0.207,0.577,0.096,0.012,0.072
2023-02,1.427,0.083,21.01,0.210,0.552,0.1,-0.188,0.075
2023-03,1.393,0.054,17.61,0.257,0.505,0.101,-0.142,0.078
2023-04,1.220,0.056,18.59,0.272,0.437,0.101,-0.260,0.081
2023-05,1.045,0.060,18.56,0.297,0.396,0.096,0.047,0.083
2023-06,0.931,0.241,21.29,0.256,0.382,0.093,-0.421,0.086
2023-07,0.921,0.418,32.24,0.252,0.478,0.093,0.103,0.089
2023-08,0.937,0.437,36.22,0.249,0.589,0.092,-0.095,0.092
2023-09,0.953,0.431,40.25,0.240,0.615,0.091,-0.152,0.094
2023-10,0.919,0.465,41.53,0.228,0.614,0.086,-0.106,0.097
2023-11,0.870,0.481,42.15,0.219,0.620,0.09,-0.185,0.100
2023-12,0.831,0.474,42.09,0.201,0.648,0.088,-0.342,0.102
2024-01,0.702,0.301,41.58,0.189,0.649,0.09,-0.082,0.102
2024-02,0.657,0.162,40.97,0.177,0.671,0.087,0.218,0.101
2024-03,0.553,0.185,42.30,0.121,0.685,0.086,0.046,0.100
2024-04,0.516,0.198,44.72,0.073,0.698,0.086,-0.106,0.100
2024-05,0.513,0.158,44.69,0.024,0.754,0.085,0.033,0.099
2024-06,0.464,0.136,44.48,0.011,0.716,0.092,-0.018,0.098
2024-07,0.387,0.131,44.10,0.013,0.618,0.088,0.289,0.098
2024-08,0.344,0.119,43.53,0.017,0.520,0.086,0.187,0.097
2024-09,0.274,0.106,43.15,0.041,0.494,0.086,0.471,0.096